q_segment,p_segment,q_sample,p_sample,q_wafer,p_wafer,q_stage,p_stage,route,q_chamber,q_first_pos,p_first_pos,rows,q_start,q_end,p_start,p_end,offset,offset_spread,process_dynamic_channels,dynamic_signals,strong,same_wafer,same_stage,relation,simultaneous,source_episode_completed_before_secondary,q_own_primary_start,q_source_files,p_source_files
5872,6019,2ba11e4561cce9e55733,be6b92fa743d751d04f3,4201773386,4211773678,B,B,456,5,0,0,165,482461759.667,482461918.667,482461759.667,482461918.667,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,482461538.667,CMP-training-026.csv,CMP-training-026.csv
973,4643,8176c599c196cb23b492,8f16e3cabc1b72a0220d,-2567249732,2977014368,B,A,456,5,0,10,107,485291311.333,485291396.333,485291311.333,485291396.333,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,False,later_primary,True,False,485291107.333,CMP-training-119.csv,CMP-training-119.csv
4965,4980,c59ddde0eb6a3fdb215a,88e8675a59d4e5713eb7,3017014470,3017014510,B,B,456,5,0,4,99,484764362.333,484764446.0,484764362.333,484764446.0,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484764168.0,CMP-training-100.csv,CMP-training-100.csv
1401,5885,2904556eb54f01d7a23d,b9909663c879c896bce0,-903170168,4201773434,A,A,456,5,0,7,95,482330805.333,482330890.0,482330805.333,482330890.0,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,482330627.0,CMP-training-022.csv,CMP-training-022.csv
5780,5717,afd0f1c92ef4e9c35934,ac0aa4e8d7dfa09fee1e,4187773534,4179773576,A,A,456,5,0,7,95,484270007.667,484270092.667,484270007.667,484270092.667,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484269795.0,CMP-training-083.csv,CMP-training-083.csv
1773,4240,026071fc4e76d9c91c7e,661374271278d0161afd,37494386,2655292922,B,B,456,5,0,2,94,486964476.333,486964559.0,486964476.333,486964559.0,0.0,0.0,8,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,486964275.0,CMP-training-174.csv,CMP-training-174.csv
2827,2745,3dd57d9fdd776e357eaf,e6adb9d3284f9b00b28e,1312253596,1306253772,A,A,456,5,0,8,93,486150389.667,486150474.667,486150389.667,486150474.667,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,486150204.333,CMP-training-149.csv,CMP-training-149.csv
4932,5043,8548af404911eb2ffa46,62fb834dea27588c190a,3015014256,3021014508,B,B,456,5,0,5,93,484637483.667,484637566.0,484637483.667,484637566.0,0.0,0.0,9,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;CENTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,484637275.0,CMP-training-096.csv,CMP-training-096.csv
295,261,3e5745badbe990ad0b06,ef0ce55340eae7563b1c,-4216160642,-4216160702,A,A,456,5,0,12,90,482011972.0,482012056.333,482011972.0,482012056.333,0.0,0.0,8,PRESSURIZED_CHAMBER_PRESSURE;MAIN_OUTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,482011932.333,CMP-training-013.csv,CMP-training-013.csv
2874,5434,f26ac2a4e652fc070855,a7e9bdf40bad80782d6e,1314253822,3625681388,A,A,456,5,0,6,90,486472395.333,486472478.667,486472395.333,486472478.667,0.0,0.0,7,MAIN_OUTER_AIR_BAG_PRESSURE;RETAINER_RING_PRESSURE;RIPPLE_AIR_BAG_PRESSURE;SLURRY_FLOW_LINE_A;SLURRY_FLOW_LINE_C;WAFER_ROTATION;EDGE_AIR_BAG_PRESSURE,True,False,True,later_primary,True,False,486472198.667,CMP-training-160.csv,CMP-training-160.csv
