sample_id,cohort,WAFER_ID,STAGE,group_id,exclusion_reason
test:4d02baea5f92507f22f0,test,-4017511594,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:0840e6892b63ab3fb73d,test,-4017511500,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:2c40e43ca8186da9e870,test,-3784722864,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:ef55cca9a61c5f46bf0d,test,-3784722762,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:6e87305a98324b192f85,test,-3780722714,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:d952f73daa3cfa643d4f,test,-3780722714,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:8a557519f593fe021263,test,-2701400560,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:740db52c219cdb88368f,test,-2701400556,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:1b71d0d68b678324b5ec,test,-2701400544,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:72f27f0639e543a56a3e,test,-2699400360,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:ca786fef1ace9de4a2dc,test,-2579249818,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:2f2bc1534b1e3fdd9d52,test,-2565249990,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:4c4101c930efb6d446eb,test,-2565249986,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:95a66aac498374b464f2,test,-2149929676,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:76878d721fb53e76d9fc,test,-2149929668,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:f0fb91da579f6f1f49ec,test,-2139929776,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:58c585360a59e28b17a2,test,-2133929504,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:1d46a590ac050bf38b25,test,-2131929444,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:532038a18961d4c7362a,test,-2129929480,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:a0e35412fee239717c15,test,-2129929476,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:2cd489492c0fd76d31d5,test,-2045929450,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:aacb8f147338006805aa,test,-2045929446,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:1cb5a5cbb8d20b9f85cd,test,-2039929208,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:ec299949f47acf4481eb,test,-2033929422,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:e4a8d590a7f0cdfa810c,test,-2033929280,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:2bee269ffc1783adc8f9,test,-1720100456,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:4785068d163fb47d5d68,test,-1714100528,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:a46bebf8e9f512a996be,test,-1183530650,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:40bed85ae6557f5ba21f,test,-1183530600,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:85d6e790a5c68d082c31,test,-903170202,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:d5781eb69b823c502bd1,test,-903170120,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:650a13d664b0452243c7,test,-903170120,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:ac3d00b3184df4597929,test,-899170202,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:c963be8f10cffffbc7e5,test,-899170172,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:42920a47f36ad70bcb75,test,-897170418,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:5e3b5c759e17de0ad882,test,-887170152,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:ac8990d5cceaedd7d901,test,-879170266,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:e1a33ee9593555a25d87,test,-879170254,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:580873c249e099e5a59d,test,-879170112,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:1d410fde2606e936250d,test,-879170104,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:3ffaf599b5242d939e38,test,-879170084,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:1fa79b59f22cb39b8f6d,test,-879170080,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:131d05f9047d306b06a7,test,-877170362,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:c5fc910a4b3dc7a8e887,test,-877170350,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:9a4eb8d586f294700a91,test,-877170314,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:2922b1fbfa9542718f5f,test,-873170358,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:72bfbb8b9ab0048db081,test,-873170342,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:1baaf4761c3110190e59,test,-873170338,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:d76b13048dbb9a77aa6b,test,-873170314,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:c2d51a431c1ca85e4120,test,-873170310,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:d8b3bf030cac52b6df0e,test,-873170244,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:7722400135e192d2237e,test,29494088,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:90be7b4b27b44060dd5a,test,29494100,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:6085727d6ece27d56f3c,test,29494128,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:e36c6ea665925d836c4d,test,29494162,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:2e80bf402dc99d688266,test,31494164,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:2aab1e24996b676e4523,test,31494172,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:b253dcf3858f5936bc95,test,33494140,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:aeeb3f1c51988fdbb2ec,test,37494374,A,prior/CMP-training-175.csv,prior_wafer_file_component
test:ddde3d9cd9c153bd5bd1,test,37494400,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:33f71953596408ca76b3,test,37494424,A,prior/CMP-training-175.csv,prior_wafer_file_component
test:41543b17d99489751f7a,test,37494440,A,prior/CMP-training-175.csv,prior_wafer_file_component
test:8bc32a935d3dbc6a6377,test,41494448,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:6c1fd2970a42686b16eb,test,41494448,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:3f935a8c1167fd8b76ad,test,43494162,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:a2c652763ef774058ba3,test,43494194,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:bebfdab8413eaca10cec,test,43494198,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:b9439a1f559670b1388c,test,43494368,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:d9155dbc1410d9e916b4,test,43494396,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:bc614ddbcbec41849901,test,325446874,A,prior/CMP-training-053.csv,prior_wafer_file_component
test:006b0b385c96ff685425,test,325446878,A,prior/CMP-training-053.csv,prior_wafer_file_component
test:f61f9f8a880f150b5798,test,331446686,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:aaa43e2924c2482876aa,test,345446698,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:e9a40d2245015d4bd955,test,345446888,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:62a12c0d42f4848accee,test,349446714,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:78aaddc26c439d002045,test,371447012,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:aac924067e4e78a61ef9,test,373446766,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:c6b7b39162b16aa2dcca,test,373446782,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:e4930977c9167712fad0,test,675222828,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:99845544c876fcd9dead,test,675222844,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:4a1f7fe13bf5c4089572,test,1270253696,A,prior/CMP-training-167.csv,prior_wafer_file_component
test:a9a54e71945c604de534,test,1270253708,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:c4632c3473f819c1f87d,test,1270253720,B,prior/CMP-training-166.csv,prior_wafer_file_component
test:8329b66a4539428ea9b3,test,1276253688,B,prior/CMP-training-167.csv,prior_wafer_file_component
test:faf1c95c3394f52f4626,test,1286253650,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:218e61e220edeca369b5,test,1286253716,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:6d5333367928c4ad8e1c,test,1286253740,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:1474db5f8ce14385a655,test,1288253462,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:331d9793d708a7aa3637,test,1288253466,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:33eda84ec14b5650f80e,test,1288253486,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:604bb15b5002672e3f7d,test,1288253502,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:1b82765c0c2ed1d695a8,test,1288253644,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:68ff755423902f997896,test,1288253660,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:4f5a52943b1f7d6602bf,test,1290253720,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:e94b6136fa0a7879880f,test,1292253510,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:a812097fd0b6f8d285dd,test,1300253506,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:5a758f5312120ce6feb9,test,1304253506,A,prior/CMP-training-145.csv,prior_wafer_file_component
test:23c53ba93b2dcd87fb6c,test,1304253514,A,prior/CMP-training-145.csv,prior_wafer_file_component
test:8118f93504fee43ffb59,test,1304253534,B,prior/CMP-training-145.csv,prior_wafer_file_component
test:0e0f50334904de2afe94,test,1306253820,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:202f0bfb0a59ec398820,test,1308253530,A,prior/CMP-training-145.csv,prior_wafer_file_component
test:4ace9ed20a16bf707cc6,test,1310253780,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:a8bca106fc812f8a95bd,test,1314253608,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:21e0c5e038553c7ac0ec,test,1316253834,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:1d730bbf35d21619651d,test,1316253842,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:071b3b8cd6ab5748b4eb,test,1318253580,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:08a8c253614d8e1856bc,test,1318253584,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:8ff2efab701216506995,test,1318253596,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:293e647e9db79c39ddfd,test,1318253810,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:b6400998ff2f9a32c1ef,test,1322253572,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:6a187377a43f61eff20c,test,1324253858,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:5fd1ca55139b41c1e244,test,1324253882,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:afa2c9a9ad3f4ee15acb,test,1330253600,B,prior/CMP-training-145.csv,prior_wafer_file_component
test:a519e6a3e58123065aa1,test,1330253620,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:afc0f73a332d719d5768,test,1462254276,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:7c970a876df0df3afab0,test,1462254280,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:fca308e1b18180a4be5e,test,1462254284,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:6d4645dd96df7115b9f0,test,1462254288,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:8685ea7325010b442187,test,1462254308,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:d42f7b4333ccfa17c357,test,1471738960,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:354ec906babadc913892,test,1471739000,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:e6b5f5fec3bc532fbff4,test,1475739272,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:2d5eab22f00871a10ce5,test,1477739034,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:c07f11a672e3a61d7fed,test,1477739236,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:aaabe774eb25a3cf9023,test,1478254090,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:968d1f274739646fe63d,test,1478254316,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:7b39c9c986e0dae854af,test,1480254034,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:c7d576fa29fcf2a16239,test,1480254046,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:a1b9f05c3ed75594b6ed,test,1480254078,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:6009535644195faa752e,test,1480254096,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:1231dfd2ab95c560959d,test,1480254104,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:1d12a3644ee42fa22bf5,test,1482254316,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:c93f52a49371ab7a15d6,test,1482254316,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:f28b782168f83aaac890,test,1484254370,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:854c6656bdbe1ea5f307,test,1486254084,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:5d11ab5955e64a56e4c0,test,1490254104,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:c5ad844a71bcab4b579b,test,1492254346,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:a4e7fa9affbe3a00cbb6,test,1834206726,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:6f67e1c869c0b85c8399,test,1836207004,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:e6a3bb9b32221304d052,test,1838206778,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:bb6409c12eab7fb9d361,test,1838206968,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:8d9d4087f403c8ba52a7,test,1840206976,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:4c63e11d9a1c54354fd2,test,1840206988,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:7455e49bd8d88154cf5c,test,1840207004,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:ab96c5ed8e6752b4b9c8,test,1840207032,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:f7432a6dfb361851db0b,test,1842206738,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:aab66d1bfd81d3b46c08,test,1842206782,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:f67e09a546b2486d7d97,test,1846206734,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:a90137dd4dd5ab726b9e,test,1852207020,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:94b7fea22f793547d5c9,test,2056207554,A,prior/CMP-training-145.csv,prior_wafer_file_component
test:d214eb6be3669f6bd966,test,2058207626,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:ab351a037579888cc0bf,test,2058207654,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:b58aca40c4be64525f50,test,2066207580,A,prior/CMP-training-167.csv,prior_wafer_file_component
test:78e42d6f2efdb2d2b12f,test,2070207536,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:052e8cbcfa393534872c,test,2070207710,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:12c2bb31a649383137b5,test,2070207722,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:74f92b58edc8282f1821,test,2076207432,A,prior/CMP-training-175.csv,prior_wafer_file_component
test:ea962e2a6ec5427b3180,test,2110498176,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:6f54f17396c3b58da22a,test,2110498180,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:0d2395e2fd89ad36cc56,test,2114498126,A,prior/CMP-training-062.csv,prior_wafer_file_component
test:2c30c0c0f98d9b0bfd36,test,2655292672,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:e9287cf9f639d0cb745c,test,2655292906,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:4c42e43dc99dab69afca,test,2657292908,B,prior/CMP-training-172.csv,prior_wafer_file_component
test:95bdfe79a0a74518e760,test,2657292958,A,prior/CMP-training-172.csv,prior_wafer_file_component
test:f34c11dc4ac05d740639,test,2663292922,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:9b835bb633719d0ca1d2,test,2665292938,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:ad7e6f6a84d54fe4416e,test,2667292724,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:ee67c692bd49fcbd2f9e,test,2703293050,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:3b3c6867e8b5a8aa8b3f,test,2703293084,B,prior/CMP-training-014.csv,prior_wafer_file_component
test:4b8e0e083de2f306c108,test,2705292850,A,prior/CMP-training-014.csv,prior_wafer_file_component
test:1b750f8c6190dfd1d423,test,2707293092,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:9c8542ee17a36e4ca58c,test,2717292826,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:91003ef42cf4738a805e,test,2717292830,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:51e4ac2b53d02ee262c9,test,2717292862,B,prior/CMP-training-000.csv,prior_wafer_file_component
test:34208ebb2733b1b0284c,test,2915013996,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:b2c92099d6dd8787ed9d,test,2917014214,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:5b62cb6062cfc089a043,test,2921014270,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:340989de55d989058a09,test,2975014164,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:9ec397dcd02c321971fb,test,2975014172,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:501a01e44826e057d8af,test,2975014184,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:6382d03d85cb6f9225c4,test,2975014394,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:eb04f2491a820b6eab04,test,2981014376,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:63722e4aea1193f8f1fa,test,2981014422,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:12bc66546fcc2c53ca8b,test,2981014426,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:4ff22cd563e8a3f3f164,test,2985014384,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:28352dba4220964b25a2,test,2985014414,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:610d59865d54893d48f9,test,2985014430,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:feef453df50f97a51897,test,2987014184,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:2032a6c746698b4b468e,test,2987014204,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:e867a38822028db043d7,test,2999014220,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:ff4cd957e7cfe9b95f0f,test,2999014322,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:59135297414a96cafb48,test,3003014256,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:3832178b31f1168ceece,test,3003014268,A,prior/CMP-training-115.csv,prior_wafer_file_component
test:455e2ab8a8bc54172c45,test,3005014526,B,prior/CMP-training-115.csv,prior_wafer_file_component
test:4fa524229fac21e09291,test,3011014282,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:e97e6d5130a8ce3c1639,test,3013014510,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:5b9785bdcd71c032c33a,test,3017014276,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:b4dece67784847d3ea35,test,3017014300,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:13c9f3d1cb604dd1c804,test,3017014518,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:68805788b02bec707bfc,test,3017014518,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:e637be32b794d445868a,test,3023014536,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:6fc52f00013553e78493,test,3023014576,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:4008051e5c0764f8b2d2,test,3025014290,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:ddc8490279786d6d2b57,test,3027014522,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:eb7752594dac3931dcd4,test,3027014526,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:d078c91b9bd85826bc47,test,3027014556,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:74205f39581c79fd4131,test,3029014278,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:67ce71772bbefef05382,test,3029014318,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:10af1fbcd3118cae9b70,test,3031014478,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:39d340ed617a4771255f,test,3037014302,A,prior/CMP-training-087.csv,prior_wafer_file_component
test:5bc503adf526d90ee225,test,3037014492,B,prior/CMP-training-087.csv,prior_wafer_file_component
test:b721ed3f409740b15845,test,3621681344,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:5681c74abcfb12fbff1e,test,3623681090,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:2d55d45f9a0383a8f06a,test,3623681094,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:3d73609d01eeeb300789,test,3623681098,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:1418b8e6a21e1498ee15,test,3623681114,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:1f9d7e9fa9948a870e3c,test,3623681130,B,prior/CMP-training-166.csv,prior_wafer_file_component
test:18f2e9090491c66ffc3d,test,3625681206,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:566de29f17b444f9d704,test,3625681344,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:71fc3e6de1ca86140467,test,3625681352,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:de67f9c12ff7ec828783,test,3625681404,B,prior/CMP-training-134.csv,prior_wafer_file_component
test:b8a460a3ed3364ac5d36,test,3627681146,A,prior/CMP-training-134.csv,prior_wafer_file_component
test:5e9ebb235101bb733c2c,test,3834719044,A,prior/CMP-training-000.csv,prior_wafer_file_component
test:b9ab82f96bfd3819173d,test,4167773546,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:9f7bd7f0d493611437a4,test,4167773550,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:84bc5c4dcce0f17b5e3c,test,4167773572,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:cdd3276ec2cd2a249a1d,test,4167773592,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:1e2f62523499ed927d17,test,4167773600,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:ff99b48a0985236f66d0,test,4169773350,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:92395baceacea8151558,test,4169773354,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:1baa5276e694134773d7,test,4169773536,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:a36a20bc925c09068cc0,test,4169773548,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:9de61bbf05b5748e5c19,test,4173773318,B,prior/CMP-training-062.csv,prior_wafer_file_component
test:94b638552e294aaab06b,test,4175773592,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:799ae9f853bad8571fa4,test,4177773322,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:f3863b34f28fd21d5564,test,4177773350,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:6faf94a5f7c1e562ed54,test,4179773510,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:d9e64853647ef6faa58a,test,4179773514,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:67ca09e28c7a05334d90,test,4179773612,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:4f1e61c084da79b28a0b,test,4181773330,A,prior/CMP-training-071.csv,prior_wafer_file_component
test:7a4930f9612953444bf0,test,4181773330,B,prior/CMP-training-071.csv,prior_wafer_file_component
test:c2f26a8e6540db9ed7fd,test,4181773370,A,prior/CMP-training-071.csv,prior_wafer_file_component
