sample_id,WAFER_ID,STAGE,condition,group_id,start,end,qc_active_episodes,qc_raw_count,qc_gap_count,qc_active_count,qc_longest_count,qc_trimmed_count,cohort
1202e8a96e82096f8f00,-4228160580,A,Cond1,CMP-training-000.csv,481734905.333,481735276.333,1,197,197,71,71,63,training
5967fa72261c0fd8db68,-4228160580,B,Cond2,CMP-training-000.csv,481767353.667,481767728.0,1,199,199,68,68,60,training
d7436ce2f1d8c85543ee,-4226160424,A,Cond1,CMP-training-000.csv,481698999.667,481699360.667,1,188,188,71,71,63,training
1d00227e7a238234e187,-4226160424,B,Cond2,CMP-training-000.csv,481741434.333,481741820.333,1,195,195,69,69,61,training
7961971dc74deb9a0ca0,-4226160416,A,Cond1,CMP-training-000.csv,481734523.333,481734877.333,0,183,183,0,0,0,training
5fe6dba94c362366a1f5,-4226160416,B,Cond2,CMP-training-000.csv,481767557.0,481767928.0,1,195,195,72,72,64,training
3b03297e1603ab9b5488,-4226160408,B,Cond2,CMP-training-000.csv,481770924.667,481771740.333,1,197,197,70,70,62,training
5b1b682b0465237b3156,-4226160404,B,Cond2,CMP-training-000.csv,481747927.0,481748298.0,1,194,194,48,48,42,training
992be32d31162a019ccb,-4226160396,A,Cond1,CMP-training-000.csv,481731974.0,481732335.0,1,184,184,47,47,41,training
9b4c85f86c219eb6cf56,-4226160396,B,Cond2,CMP-training-000.csv,481757157.667,481757512.0,0,189,189,0,0,0,training
68495d6c21e8fa63fb20,-4224160702,B,Cond2,CMP-training-000.csv,481707945.0,481708309.333,1,188,188,48,48,42,training
6242717d11439aa52fa0,-4224160694,A,Cond1,CMP-training-000.csv,481663515.667,481663885.667,1,193,193,70,70,62,training
f762b66e2365dad1ec3b,-4224160694,B,Cond2,CMP-training-000.csv,481701519.667,481701886.0,1,193,193,76,76,68,training
7f904efd7bcecf749eaa,-4224160690,A,Cond1,CMP-training-000.csv,481664113.667,481664483.667,1,196,196,70,70,61,training
8d5b52254a54ef95fcae,-4224160690,B,Cond2,CMP-training-000.csv,481700906.0,481701288.667,1,207,207,68,68,60,training
0dcde823a8ec97462306,-4224160662,A,Cond1,CMP-training-000.csv,481716938.333,481717297.667,1,172,172,49,49,43,training
aacc07fb34b57f2be4b7,-4224160662,B,Cond2,CMP-training-000.csv,481771127.0,481771836.0,1,196,196,70,70,62,training
54ea818ed17d5c548e38,-4224160654,A,Cond1,CMP-training-000.csv,481732164.0,481732522.0,1,182,182,76,76,68,training
fd8805cdd710fc87a674,-4224160650,A,Cond1,CMP-training-000.csv,481701322.0,481701692.333,1,183,183,76,76,68,training
aa833edfcfe52111805a,-4224160650,B,Cond2,CMP-training-000.csv,481749482.0,481749862.0,1,212,212,89,89,77,training
a9bcbd71b5af4b4cbfaf,-4224160646,A,Cond1,CMP-training-000.csv,481692872.667,481693234.0,0,210,210,0,0,0,training
dde928a156646f905507,-4224160600,A,Cond1,CMP-training-000.csv,481637828.333,481638184.667,1,180,180,47,47,41,training
d526e090eb99bb64a8e6,-4224160600,B,Cond2,CMP-training-000.csv,481673940.667,481674317.667,1,204,204,71,71,63,training
a5e6e66b9b2c6cb855ef,-4224160592,B,Cond2,CMP-training-000.csv,481674149.333,481674521.667,1,201,201,71,71,63,training
44e52ff08d7fb0d81b3c,-4224160584,B,Cond2,CMP-training-000.csv,481635534.333,481635901.667,1,194,194,67,67,59,training
92ab94f2d7cb1cf50313,-4224160580,B,Cond2,CMP-training-000.csv,481635733.333,481636100.333,1,191,191,72,72,64,training
b138af2c252c3f59740c,-4222160606,B,Cond2,CMP-training-014.csv,482153871.0,482154262.333,1,216,216,73,73,65,training
7ecd59b97bf6a9ca99f7,-4222160590,B,Cond2,CMP-training-029.csv,482540251.333,482540623.333,1,197,197,72,72,64,training
81bbf59aff29dd99a51d,-4222160582,B,Cond2,CMP-training-014.csv,482132840.667,482133218.0,1,202,202,71,71,63,training
0a2c26346b639a082c05,-4222160578,B,Cond2,CMP-training-014.csv,482191507.0,482191873.0,1,191,191,71,71,63,training
14da02e0a2f258f43603,-4222160448,A,Cond1,CMP-training-014.csv,482154670.333,482155040.0,1,196,196,72,72,64,training
3841eeb50e1c679c03fa,-4222160432,B,Cond2,CMP-training-014.csv,482178962.0,482179333.0,1,197,197,67,67,59,training
77daff006f1cea9002a0,-4222160428,A,Cond1,CMP-training-014.csv,482121956.333,482122326.333,1,194,194,71,71,63,training
d4f5c7dae132fc849ba7,-4222160428,B,Cond2,CMP-training-014.csv,482165258.333,482165625.667,1,193,193,72,72,64,training
1857a1493ada7d76bed0,-4222160420,A,Cond1,CMP-training-014.csv,482121754.0,482122125.333,1,197,197,71,71,64,training
92d8fe506f357432916d,-4222160392,A,Cond1,CMP-training-014.csv,482122156.0,482122525.333,1,192,192,72,72,64,training
e846bea1cb1c675637b1,-4220160702,A,Cond1,CMP-training-020.csv,482321106.0,482321462.333,1,177,177,48,48,41,training
da664178fb95e3ac7ac5,-4220160702,B,Cond2,CMP-training-020.csv,482362507.333,482362873.0,1,188,188,71,71,60,training
ba50cafcb4b9a7822c89,-4220160694,A,Cond1,CMP-training-020.csv,482347092.0,482347451.0,1,186,186,69,69,61,training
a27f65a9d51515d62208,-4220160686,B,Cond2,CMP-training-020.csv,482314482.0,482314846.0,1,191,191,68,68,60,training
2d9caeef18825482c0b3,-4220160682,B,Cond2,CMP-training-014.csv,482157722.333,482158099.333,1,203,203,71,71,63,training
85614a746352d5cd2a3e,-4220160678,B,Cond2,CMP-training-014.csv,482165655.333,482166024.667,1,197,197,72,72,64,training
8d15b2de5138dd86be60,-4220160674,A,Cond1,CMP-training-014.csv,482123177.0,482123543.0,1,193,193,72,72,64,training
f134708f5da7f0cd73a9,-4220160650,A,Cond1,CMP-training-059.csv,483462545.667,483462914.0,1,194,194,67,67,60,training
453e03f583f92e4e3248,-4220160646,A,Cond1,CMP-training-020.csv,482463961.667,482464322.0,1,184,184,73,73,66,training
186c9d4e7c876c1ae049,-4220160646,B,Cond2,CMP-training-020.csv,482644025.667,482644387.667,1,191,191,71,71,63,training
74051d2f391a63f8431a,-4220160604,A,Cond1,CMP-training-014.csv,482154872.0,482155239.667,1,193,193,71,71,62,training
28b351aaa3c696b0d7d9,-4220160604,B,Cond2,CMP-training-014.csv,482191113.333,482191482.0,1,193,193,73,73,65,training
ef0ce55340eae7563b1c,-4216160702,A,Cond1,CMP-training-013.csv,482011960.667,482012330.333,1,202,202,72,72,64,training
3c31cc18b1eeb62ef763,-4216160694,A,Cond1,CMP-training-013.csv,482012162.333,482012532.333,1,198,198,71,71,63,training
7540e22cad3ceb061079,-4216160690,B,Cond2,CMP-training-014.csv,482126742.333,482127124.333,1,205,205,67,67,59,training
8c13374f71f9648f9867,-4216160670,A,Cond1,CMP-training-000.csv,481938760.333,481939129.0,1,191,191,73,73,64,training
5e5d579570007a23d7eb,-4216160670,B,Cond2,CMP-training-000.csv,481985637.0,481986010.0,1,198,198,72,72,63,training
d7d7474c81d8e5810c15,-4216160666,A,Cond1,CMP-training-000.csv,481906464.0,481906824.333,1,183,183,77,77,68,training
4907a2a11e59261d4b86,-4216160662,A,Cond1,CMP-training-000.csv,481925572.0,481925944.0,1,197,197,69,69,62,training
eb66e937c4abfef983d0,-4216160658,A,Cond1,CMP-training-000.csv,481951771.667,481952143.667,1,194,194,71,71,63,training
e559fce816f947034c61,-4216160650,A,Cond1,CMP-training-000.csv,481952369.0,481952733.667,1,191,191,71,71,63,training
126cd89115fe38621500,-4216160646,B,Cond2,CMP-training-000.csv,481987307.0,481987679.667,1,199,199,72,72,64,training
3e5745badbe990ad0b06,-4216160642,A,Cond1,CMP-training-013.csv,482011756.333,482012130.333,1,197,197,71,71,62,training
041d6559d0ccd87a01af,-4216160640,A,Cond1,CMP-training-020.csv,482357475.0,482357832.0,1,183,183,68,68,61,training
07c601a6147558842993,-4216160640,B,Cond2,CMP-training-020.csv,482409552.0,482409912.0,1,188,188,71,71,63,training
9a132ed310956d20af13,-4216160624,A,Cond1,CMP-training-000.csv,481912384.333,481912749.333,1,193,193,71,71,63,training
b389505019dd9940d414,-4216160624,B,Cond2,CMP-training-000.csv,481957469.333,481957839.0,1,196,196,73,73,65,training
ee7dfee081c5d9ca41cd,-4210160444,A,Cond1,CMP-training-020.csv,482312584.667,482312948.667,1,190,190,67,67,59,training
d6ba91dec59bc6c291ca,-4210160444,B,Cond2,CMP-training-020.csv,482356900.0,482357265.0,1,191,191,69,69,61,training
58d2128e80e980fb65f7,-4208160362,A,Cond1,CMP-training-018.csv,482222435.0,482222787.333,1,178,178,37,37,32,training
250617e7063072619ee0,-4141512120,A,Cond1,CMP-training-020.csv,482375990.0,482376351.0,1,186,186,73,73,64,training
6b51cf40fe5ba0e98675,-4141512120,B,Cond2,CMP-training-020.csv,482415285.333,482415654.0,1,195,195,72,72,65,training
ad1002f388a918ae688b,-4141512112,B,Cond2,CMP-training-014.csv,482200309.667,482200661.333,1,179,179,23,23,20,training
7752a6a5d7d821afe1dc,-4141512104,B,Cond2,CMP-training-020.csv,482415089.0,482415454.0,1,191,191,71,71,63,training
1ce3c6b2e7021b990226,-4141512096,A,Cond1,CMP-training-020.csv,482658568.333,482658939.333,1,191,191,70,70,62,training
aa7f2e6d6f77a19fcff1,-4141512096,B,Cond2,CMP-training-020.csv,482698187.667,482698569.333,1,195,195,70,70,62,training
8f2cee58894e52e1f320,-4141512092,B,Cond2,CMP-training-020.csv,482659155.333,482659520.667,1,192,192,71,71,62,training
dfaae2fe4fd0f12fb599,-4141512072,A,Cond1,CMP-training-020.csv,482622764.333,482623125.667,1,185,185,71,71,63,training
9fccd3a12bfc96e1651b,-4139512020,B,Cond2,CMP-training-020.csv,482706306.333,482706675.333,1,196,196,70,70,62,training
f4e15565b1481af0c236,-4139512004,A,Cond1,CMP-training-020.csv,482622187.0,482622550.0,1,187,187,72,72,63,training
ca583f0ad0211cd771a8,-4139512004,B,Cond2,CMP-training-020.csv,482659352.667,482659717.333,1,194,194,70,70,62,training
93b486b601f1d2b2546a,-4139511866,A,Cond1,CMP-training-020.csv,482648537.333,482648899.333,1,191,191,68,68,59,training
641fa945c9e4a10be8b1,-4139511854,A,Cond1,CMP-training-020.csv,482658960.333,482659326.333,1,189,189,71,71,61,training
c10d5eb3d1b7b7be8f66,-4139511854,B,Cond2,CMP-training-020.csv,482698588.333,482698951.333,1,188,188,77,77,69,training
87cb7176b9c6d517bfe6,-4139511850,A,Cond1,CMP-training-020.csv,482658765.667,482659131.333,1,190,190,72,72,64,training
1162bc74b96e937eb78d,-4139511850,B,Cond2,CMP-training-020.csv,482698395.333,482698759.333,1,188,188,75,75,67,training
065009dcf80d9db0c2c5,-4139511842,A,Cond1,CMP-training-020.csv,482622380.0,482622752.0,1,187,187,72,72,64,training
3f09e25ab98b92f5fd09,-4139511842,B,Cond2,CMP-training-020.csv,482655217.333,482655584.333,1,196,196,70,70,62,training
c99cc22411534299529e,-4139511834,B,Cond2,CMP-training-020.csv,482703482.667,482703838.333,0,185,185,0,0,0,training
868967d88bbe6de2936f,-4139511830,B,Cond2,CMP-training-020.csv,482700746.333,482701122.333,1,199,199,68,68,61,training
5915607beccd9fea86f9,-4139511826,A,Cond1,CMP-training-020.csv,482652448.333,482652809.333,1,190,190,72,72,66,training
5f85b3b53c1ea7b9caa7,-4139511826,B,Cond2,CMP-training-020.csv,482703194.333,482703564.667,1,196,196,70,70,62,training
f799f0e4bb0a091815b2,-4113511826,A,Cond1,CMP-training-000.csv,481696803.667,481697173.333,1,208,208,71,71,63,training
3d8d5ab81cd414c139d6,-4113511826,B,Cond2,CMP-training-000.csv,481741861.333,481742244.333,1,207,207,72,72,64,training
63f53d160afb7ded1c8e,-4113511822,B,Cond2,CMP-training-000.csv,481718846.0,481719222.667,1,198,198,69,69,61,training
1138e94a205a683256cf,-4113511818,A,Cond1,CMP-training-000.csv,481634409.667,481634783.667,1,198,198,68,68,60,training
deb8c56a8a065bc563f4,-4113511818,B,Cond2,CMP-training-000.csv,481697606.667,481697988.333,1,208,208,71,71,63,training
369c1a3e76aa298f75dd,-4113511814,A,Cond1,CMP-training-000.csv,481645403.0,481645772.667,1,198,198,72,72,64,training
bbab691563db880b1976,-4113511814,B,Cond2,CMP-training-000.csv,481695467.333,481695856.333,1,211,211,68,68,60,training
cf79490e0df97330ab40,-4113511808,A,Cond1,CMP-training-000.csv,481677313.667,481677676.0,1,190,190,70,70,63,training
db52fd4d3e5abf26f054,-4113511808,B,Cond2,CMP-training-000.csv,481708138.0,481708513.333,1,198,198,71,71,63,training
c9df686eb8d8acd2012e,-4113511804,B,Cond2,CMP-training-000.csv,481733253.333,481733620.667,1,190,190,74,74,66,training
71bb64b6261727ce389a,-4113511800,B,Cond2,CMP-training-000.csv,481756099.333,481756475.333,1,200,200,70,70,62,training
832e2588b27dc2e612fc,-4113511796,A,Cond1,CMP-training-000.csv,481662576.333,481662948.333,1,198,198,67,67,59,training
7d57d322a34aef2fef83,-4113511796,B,Cond2,CMP-training-000.csv,481718639.667,481719018.0,1,202,202,79,79,68,training
50aa94e96643de7fceb8,-4113511792,A,Cond1,CMP-training-000.csv,481671145.0,481671522.333,1,204,204,69,69,61,training
04322e7ae01b4680d35d,-4113511792,B,Cond2,CMP-training-000.csv,481700345.0,481700724.333,1,206,206,67,67,60,training
9e55e27c51b3f1468e8b,-4113511784,B,Cond2,CMP-training-000.csv,481718433.333,481718811.0,1,200,200,68,68,60,training
7bc16dc775f95f5d944e,-4113511780,A,Cond1,CMP-training-000.csv,481634613.333,481634982.333,1,196,196,71,71,63,training
b3721b210ceb79b9df6d,-4113511764,B,Cond2,CMP-training-000.csv,481737220.333,481737601.333,1,206,206,71,71,62,training
0678b9ab06824fc69616,-4113511756,A,Cond1,CMP-training-000.csv,481681023.0,481681388.0,1,193,193,72,72,63,training
26fdf7a5d5011647b6ef,-4113511756,B,Cond2,CMP-training-000.csv,481721435.667,481721807.667,1,199,199,66,66,59,training
6420ef7bdddd242ad55b,-4113511752,A,Cond1,CMP-training-000.csv,481680230.0,481680604.0,1,194,194,69,69,61,training
6bef49db4e5a38a0503c,-4113511752,B,Cond2,CMP-training-000.csv,481737011.333,481737389.333,1,204,204,69,69,61,training
7920a0d1b98d1a5a5ca0,-4113511748,A,Cond1,CMP-training-000.csv,481680628.0,481680996.0,1,191,191,72,72,63,training
5cfa9f94fcf3ede8b23c,-4113511748,B,Cond2,CMP-training-000.csv,481733066.333,481733423.333,0,199,199,0,0,0,training
a2fab8de1d0ed8453a2e,-4111512062,A,Cond1,CMP-training-020.csv,482361262.0,482361622.333,1,186,186,71,71,64,training
c6913b39a81fd7ac4495,-4111512058,A,Cond1,CMP-training-020.csv,482369267.0,482369624.0,1,183,183,72,72,64,training
0143f6c3d6640aaa957b,-4111512058,B,Cond2,CMP-training-020.csv,482422102.333,482422468.333,1,192,192,71,71,63,training
3ae3d41b2dc600ea6397,-4111512050,A,Cond1,CMP-training-020.csv,482375794.333,482376161.0,1,190,190,69,69,61,training
b2b7fb62f8bd2bdb8af6,-4111512046,B,Cond2,CMP-training-020.csv,482471945.0,482472305.0,1,187,187,71,71,63,training
ca22bd9c693d68fbfc84,-4111511824,A,Cond1,CMP-training-000.csv,481697203.333,481697565.333,1,187,187,72,72,64,training
93659f4971aae77e7cd5,-4111511824,B,Cond2,CMP-training-000.csv,481741649.0,481742032.333,1,226,226,73,73,65,training
000b67a33cdcbc155900,-4111511820,A,Cond1,CMP-training-000.csv,481680826.0,481681191.0,1,191,191,72,72,64,training
58336438c8353884b0b8,-4111511820,B,Cond2,CMP-training-000.csv,481736383.333,481736756.333,1,198,198,82,82,69,training
7c48a414ed1eaa23d6f0,-4111511816,A,Cond1,CMP-training-014.csv,482180486.0,482180849.0,1,189,189,71,71,63,training
3821aac0f62bfaea784c,-4111511812,B,Cond2,CMP-training-020.csv,482283224.0,482283573.0,0,173,173,0,0,0,training
0da647c8d6f4bd982136,-4045511868,B,Cond2,CMP-training-101.csv,484873144.667,484873510.333,1,187,187,72,72,64,training
9f901e12f57b2b0c8c22,-4045511848,B,Cond2,CMP-training-101.csv,484883455.333,484883814.333,1,185,185,70,70,62,training
8146113cc7cd6c341483,-4045511836,B,Cond2,CMP-training-101.csv,484863487.333,484863850.333,1,185,185,71,71,62,training
2a2939c71a2c18a9260d,-4045511832,B,Cond2,CMP-training-101.csv,484882778.0,484883137.0,1,182,182,70,70,62,training
21cbb1a006dc7e34f5f8,-4045511828,A,Cond1,CMP-training-101.csv,484862719.333,484863078.0,1,185,185,72,72,64,training
706895e70a25b52a0444,-4045511824,B,Cond2,CMP-training-101.csv,484873339.333,484873708.333,1,190,190,74,74,71,training
2ec6700e2224a3e08867,-4045511820,B,Cond2,CMP-training-101.csv,484845469.0,484845830.0,1,184,184,71,71,62,training
26c63f3c5839c506aaf9,-4045511816,B,Cond2,CMP-training-101.csv,484863099.0,484863461.0,1,189,189,72,72,64,training
05f124c55ed02953adb0,-4045511812,A,Cond1,CMP-training-101.csv,484862527.0,484862891.333,1,187,187,68,68,60,training
68ed55601175ead8ca28,-4043511808,A,Cond1,CMP-training-101.csv,484829473.333,484829827.0,1,183,183,71,71,63,training
253cddb18ef60ff680ab,-4043511808,B,Cond2,CMP-training-101.csv,484900435.333,484900799.0,1,190,190,71,71,63,training
89829271993d2ffe71f1,-4043511796,A,Cond1,CMP-training-101.csv,484816482.667,484816843.667,1,183,183,70,70,62,training
0503fa7532d16231373b,-4043511796,B,Cond2,CMP-training-101.csv,484883279.333,484883622.333,0,170,170,0,0,0,training
374b5b24a1888b4bb2ba,-4043511570,A,Cond1,CMP-training-101.csv,484875122.667,484875480.333,1,184,184,75,75,65,training
5da523d6eed7bd968a1b,-4041511872,A,Cond1,CMP-training-133.csv,485693317.667,485693674.0,1,174,174,73,73,63,training
c0007d8b42cdf1c37c39,-4041511860,A,Cond1,CMP-training-133.csv,485693879.0,485694238.0,1,182,182,66,66,58,training
5ca7ec914f5ccf7979fd,-4041511852,A,Cond1,CMP-training-133.csv,485718743.0,485719094.0,1,180,180,71,71,61,training
c5a68946811d7daf9335,-4039511800,A,Cond1,CMP-training-134.csv,485745834.0,485746191.0,1,181,181,72,72,64,training
8b1c29a1423d15e26b2e,-4039511788,A,Cond1,CMP-training-134.csv,485723997.333,485724347.667,1,176,176,70,70,62,training
cc330b21069ce233a312,-4039511784,A,Cond1,CMP-training-134.csv,485746206.0,485746558.0,1,179,179,70,70,62,training
7ce8c69a06539826cedc,-4039511784,B,Cond2,CMP-training-134.csv,486389123.667,486389483.667,1,185,185,67,67,59,training
28441326f94ba0a5b14f,-4039511578,B,Cond2,CMP-training-171.csv,486870667.0,486871027.0,1,188,188,70,70,62,training
23bf2526d9298b1c59e7,-4039511574,A,Cond1,CMP-training-134.csv,485745645.0,485746004.0,1,184,184,67,67,59,training
58ffb03108305a9609fa,-4039511574,B,Cond2,CMP-training-134.csv,486395152.333,486395514.667,1,189,189,65,65,58,training
babfa55828fc20dc9a60,-4039511566,A,Cond1,CMP-training-134.csv,485721310.0,485721663.0,1,178,178,71,71,63,training
86d5fb96aabf970f84f3,-4039511558,A,Cond1,CMP-training-134.csv,485721122.0,485721477.0,1,182,182,68,68,60,training
bb0dd7a5912b106f987f,-4039511554,A,Cond1,CMP-training-134.csv,485723810.667,485724165.333,1,181,181,69,69,59,training
90790fce1d048e5472c9,-4039511554,B,Cond2,CMP-training-134.csv,485798806.0,485799162.0,1,181,181,67,67,59,training
12b597cb0c726a3151e4,-4037511872,B,Cond2,CMP-training-101.csv,485078422.0,485078785.0,1,190,190,67,67,59,training
e6814c480c262ef4b149,-4037511840,B,Cond2,CMP-training-114.csv,485162335.333,485162698.0,1,189,189,71,71,63,training
12376da318fc06697eaa,-4037511836,B,Cond2,CMP-training-114.csv,485148095.667,485148452.667,1,182,182,72,72,64,training
0c07aa5e9cdfb3c334b8,-4037511832,A,Cond1,CMP-training-101.csv,485029618.667,485029968.667,1,178,178,77,77,69,training
81fe0c021f32a434b9a2,-4037511828,A,Cond1,CMP-training-101.csv,485085820.333,485086165.333,1,168,168,47,47,41,training
7efca8681389d862ae84,-4037511816,A,Cond1,CMP-training-101.csv,485084214.0,485084573.0,1,182,182,68,68,59,training
1a7d2cb72ceefb8f4398,-4037511812,A,Cond1,CMP-training-101.csv,485084403.0,485084760.0,1,183,183,72,72,64,training
4837b9efea270085a8f4,-4035511792,B,Cond2,CMP-training-114.csv,485161745.0,485162119.0,1,197,197,69,69,60,training
475314340343ca883cb9,-4035511780,B,Cond2,CMP-training-101.csv,485136734.0,485137095.0,1,187,187,67,67,61,training
dc119c1c6de18a03a03e,-4035511598,B,Cond2,CMP-training-117.csv,485298254.333,485298612.333,1,184,184,67,67,59,training
54533ac338be7d35ddf3,-4035511582,B,Cond2,CMP-training-118.csv,485274008.0,485274367.333,1,185,185,67,67,59,training
9517186334baf4aa0d6f,-4035511578,B,Cond2,CMP-training-117.csv,485298443.333,485298798.333,1,183,183,71,71,62,training
73c0ed135fd00f62694b,-4035511574,B,Cond2,CMP-training-118.csv,485274199.333,485274558.0,1,41,41,21,21,19,training
4d1e0dd96d0ef2d87b7c,-4035511570,B,Cond2,CMP-training-117.csv,485339158.333,485339525.333,1,193,193,68,68,59,training
af193fd79a005e307209,-4035511562,B,Cond2,CMP-training-101.csv,485120681.333,485121036.333,1,184,184,67,67,60,training
1faeb8d5019424019d00,-4033511582,A,Cond1,CMP-training-117.csv,485244387.333,485244741.333,1,180,180,71,71,63,training
c60664bff5cf03638a1a,-4033511570,B,Cond2,CMP-training-117.csv,485339357.333,485339731.333,1,192,192,71,71,62,training
a22e27c8cc4bbc06187e,-4033511552,B,Cond2,CMP-training-117.csv,485387303.0,485387667.0,1,188,188,71,71,63,training
d782c1b11aa1fd1e9bc7,-4033511548,B,Cond2,CMP-training-117.csv,485422382.0,485422745.0,1,189,189,73,73,63,training
bfde7a3881670be78abe,-4033511544,B,Cond2,CMP-training-117.csv,485400627.0,485400990.667,1,191,191,69,69,61,training
05a226eff6cb87a3dad6,-4033511540,B,Cond2,CMP-training-117.csv,485292552.333,485292913.333,1,187,187,67,67,58,training
a4addb65a3198aeff1ac,-4033511524,A,Cond1,CMP-training-117.csv,485434715.667,485435078.333,1,188,188,84,84,78,training
d4ed41e9d84ffaf012fb,-4027511790,A,Cond1,CMP-training-020.csv,482797295.667,482797646.333,1,175,175,2,2,2,training
b7ab57727c4e04de1fa6,-4027511790,B,Cond2,CMP-training-020.csv,482839144.333,482839525.667,1,204,204,71,71,63,training
cb7d70d527803bacff76,-4027511786,A,Cond1,CMP-training-020.csv,482773696.0,482774054.0,1,185,185,72,72,64,training
599ce715621c32aa706d,-4027511786,B,Cond2,CMP-training-020.csv,482815621.0,482815994.667,1,201,201,72,72,66,training
4cab8fdcda64caf7d2d1,-4027511782,A,Cond1,CMP-training-020.csv,482799073.333,482799434.667,1,187,187,70,70,62,training
15fc6fd2771a83af4570,-4027511782,B,Cond2,CMP-training-020.csv,482838936.0,482839313.0,1,203,203,71,71,63,training
b50fb135e6a483789bbe,-4027511762,A,Cond1,CMP-training-047.csv,483073037.0,483073422.0,1,210,210,67,67,59,training
1514938f41dfe7fec825,-4027511750,B,Cond2,CMP-training-049.csv,483102589.333,483102974.333,1,208,208,67,67,60,training
