sample_id,WAFER_ID,STAGE,cohort,condition,route,excluded_extreme,native_phase_fallback,p3_cpp,native_cpp_primary_end,native_cpp_start
8b02b17c76920c23a405,-4228160608,B,training,Cond2,456,False,False,293,787,814
b886a352d8b662dc1118,-4228160604,A,training,Cond1,456,False,False,289,296,301
e1d70ef84f51e97ba0b7,-4228160600,A,training,Cond1,456,False,False,285,293,298
d8d132b69ad481892b4a,-4228160600,B,training,Cond2,456,False,False,290,784,811
06c4e2ce0edf6cb6963e,-4228160596,A,training,Cond1,456,False,False,285,293,298
8a0e21deec15547d6452,-4228160596,B,training,Cond2,456,False,False,291,785,812
1202e8a96e82096f8f00,-4228160580,A,training,Cond1,456,False,False,285,294,299
5967fa72261c0fd8db68,-4228160580,B,training,Cond2,456,False,False,291,785,812
d7436ce2f1d8c85543ee,-4226160424,A,training,Cond1,456,False,False,277,288,292
1d00227e7a238234e187,-4226160424,B,training,Cond2,456,False,False,287,781,807
7961971dc74deb9a0ca0,-4226160416,A,training,Cond1,456,False,True,285,294,299
5fe6dba94c362366a1f5,-4226160416,B,training,Cond2,456,False,False,291,785,812
3b03297e1603ab9b5488,-4226160408,B,training,Cond2,456,False,False,292,786,813
5b1b682b0465237b3156,-4226160404,B,training,Cond2,456,False,False,288,782,808
992be32d31162a019ccb,-4226160396,A,training,Cond1,456,False,False,285,293,298
9b4c85f86c219eb6cf56,-4226160396,B,training,Cond2,456,False,False,290,784,811
68495d6c21e8fa63fb20,-4224160702,B,training,Cond2,456,False,False,280,776,802
6242717d11439aa52fa0,-4224160694,A,training,Cond1,456,False,False,269,279,283
f762b66e2365dad1ec3b,-4224160694,B,training,Cond2,456,False,False,278,774,800
7f904efd7bcecf749eaa,-4224160690,A,training,Cond1,456,False,False,269,279,283
8d5b52254a54ef95fcae,-4224160690,B,training,Cond2,456,False,False,278,774,799
0dcde823a8ec97462306,-4224160662,A,training,Cond1,456,False,False,282,292,297
aacc07fb34b57f2be4b7,-4224160662,B,training,Cond2,456,False,False,292,786,813
54ea818ed17d5c548e38,-4224160654,A,training,Cond1,456,False,False,285,293,298
fd8805cdd710fc87a674,-4224160650,A,training,Cond1,456,False,False,278,289,293
aa833edfcfe52111805a,-4224160650,B,training,Cond2,456,False,False,289,783,809
a9bcbd71b5af4b4cbfaf,-4224160646,A,training,Cond1,456,False,False,276,285,289
dde928a156646f905507,-4224160600,A,training,Cond1,456,False,False,266,274,278
d526e090eb99bb64a8e6,-4224160600,B,training,Cond2,456,False,False,273,770,794
a5e6e66b9b2c6cb855ef,-4224160592,B,training,Cond2,456,False,False,273,770,794
44e52ff08d7fb0d81b3c,-4224160584,B,training,Cond2,456,False,False,265,764,786
92ab94f2d7cb1cf50313,-4224160580,B,training,Cond2,456,False,False,265,764,786
b138af2c252c3f59740c,-4222160606,B,training,Cond2,456,False,False,338,816,847
7ecd59b97bf6a9ca99f7,-4222160590,B,training,Cond2,456,False,False,397,854,886
81bbf59aff29dd99a51d,-4222160582,B,training,Cond2,456,False,False,334,812,843
0a2c26346b639a082c05,-4222160578,B,training,Cond2,456,False,False,343,820,851
14da02e0a2f258f43603,-4222160448,A,training,Cond1,456,False,False,338,329,334
3841eeb50e1c679c03fa,-4222160432,B,training,Cond2,456,False,False,341,819,850
77daff006f1cea9002a0,-4222160428,A,training,Cond1,456,False,False,330,326,331
d4f5c7dae132fc849ba7,-4222160428,B,training,Cond2,456,False,False,340,818,849
1857a1493ada7d76bed0,-4222160420,A,training,Cond1,456,False,False,330,326,331
92d8fe506f357432916d,-4222160392,A,training,Cond1,456,False,False,330,326,331
e846bea1cb1c675637b1,-4220160702,A,training,Cond1,456,False,False,355,338,344
da664178fb95e3ac7ac5,-4220160702,B,training,Cond2,456,False,False,366,830,861
ba50cafcb4b9a7822c89,-4220160694,A,training,Cond1,456,False,False,361,344,350
a27f65a9d51515d62208,-4220160686,B,training,Cond2,456,False,False,354,825,856
2d9caeef18825482c0b3,-4220160682,B,training,Cond2,456,False,False,339,817,848
85614a746352d5cd2a3e,-4220160678,B,training,Cond2,456,False,False,340,818,849
8d15b2de5138dd86be60,-4220160674,A,training,Cond1,456,False,False,330,327,332
f134708f5da7f0cd73a9,-4220160650,A,training,Cond1,456,False,False,496,434,442
453e03f583f92e4e3248,-4220160646,A,training,Cond1,456,False,False,385,364,371
186c9d4e7c876c1ae049,-4220160646,B,training,Cond2,456,False,False,409,856,888
74051d2f391a63f8431a,-4220160604,A,training,Cond1,456,False,False,338,329,334
28b351aaa3c696b0d7d9,-4220160604,B,training,Cond2,456,False,False,343,820,851
ef0ce55340eae7563b1c,-4216160702,A,training,Cond1,456,False,False,328,325,330
3c31cc18b1eeb62ef763,-4216160694,A,training,Cond1,456,False,False,328,325,330
7540e22cad3ceb061079,-4216160690,B,training,Cond2,456,False,False,331,809,840
8c13374f71f9648f9867,-4216160670,A,training,Cond1,456,False,False,317,320,325
5e5d579570007a23d7eb,-4216160670,B,training,Cond2,456,False,False,324,804,834
d7d7474c81d8e5810c15,-4216160666,A,training,Cond1,456,False,False,310,313,318
4907a2a11e59261d4b86,-4216160662,A,training,Cond1,456,False,False,315,318,323
eb66e937c4abfef983d0,-4216160658,A,training,Cond1,456,False,False,320,323,328
e559fce816f947034c61,-4216160650,A,training,Cond1,456,False,False,320,323,328
126cd89115fe38621500,-4216160646,B,training,Cond2,456,False,False,324,804,835
3e5745badbe990ad0b06,-4216160642,A,training,Cond1,456,False,False,328,325,330
041d6559d0ccd87a01af,-4216160640,A,training,Cond1,456,False,False,364,347,353
07c601a6147558842993,-4216160640,B,training,Cond2,456,False,False,374,838,869
9a132ed310956d20af13,-4216160624,A,training,Cond1,456,False,False,311,314,319
b389505019dd9940d414,-4216160624,B,training,Cond2,456,False,False,321,801,830
ee7dfee081c5d9ca41cd,-4210160444,A,training,Cond1,456,False,False,353,337,343
d6ba91dec59bc6c291ca,-4210160444,B,training,Cond2,456,False,False,364,829,860
58d2128e80e980fb65f7,-4208160362,A,training,Cond1,456,False,False,346,331,336
250617e7063072619ee0,-4141512120,A,training,Cond1,456,False,False,369,350,356
6b51cf40fe5ba0e98675,-4141512120,B,training,Cond2,456,False,False,377,839,870
ad1002f388a918ae688b,-4141512112,B,training,Cond2,456,False,False,344,821,852
7752a6a5d7d821afe1dc,-4141512104,B,training,Cond2,456,False,False,377,839,870
1ce3c6b2e7021b990226,-4141512096,A,training,Cond1,456,False,False,414,387,394
aa7f2e6d6f77a19fcff1,-4141512096,B,training,Cond2,456,False,False,420,865,897
8f2cee58894e52e1f320,-4141512092,B,training,Cond2,456,False,False,414,861,893
dfaae2fe4fd0f12fb599,-4141512072,A,training,Cond1,456,False,False,405,379,386
9fccd3a12bfc96e1651b,-4139512020,B,training,Cond2,456,False,False,423,868,900
f4e15565b1481af0c236,-4139512004,A,training,Cond1,456,False,False,405,379,386
ca583f0ad0211cd771a8,-4139512004,B,training,Cond2,456,False,False,414,861,893
93b486b601f1d2b2546a,-4139511866,A,training,Cond1,456,False,False,410,384,391
641fa945c9e4a10be8b1,-4139511854,A,training,Cond1,456,False,False,414,387,394
c10d5eb3d1b7b7be8f66,-4139511854,B,training,Cond2,456,False,False,420,865,897
87cb7176b9c6d517bfe6,-4139511850,A,training,Cond1,456,False,False,414,387,394
1162bc74b96e937eb78d,-4139511850,B,training,Cond2,456,False,False,420,865,897
065009dcf80d9db0c2c5,-4139511842,A,training,Cond1,456,False,False,405,379,386
3f09e25ab98b92f5fd09,-4139511842,B,training,Cond2,456,False,False,412,859,891
c99cc22411534299529e,-4139511834,B,training,Cond2,456,False,False,422,867,899
868967d88bbe6de2936f,-4139511830,B,training,Cond2,456,False,False,421,866,898
5915607beccd9fea86f9,-4139511826,A,training,Cond1,456,False,False,411,385,392
5f85b3b53c1ea7b9caa7,-4139511826,B,training,Cond2,456,False,False,422,867,899
f799f0e4bb0a091815b2,-4113511826,A,training,Cond1,456,False,False,277,287,291
3d8d5ab81cd414c139d6,-4113511826,B,training,Cond2,456,False,False,287,781,807
63f53d160afb7ded1c8e,-4113511822,B,training,Cond2,456,False,False,283,777,803
1138e94a205a683256cf,-4113511818,A,training,Cond1,456,False,False,264,273,277
deb8c56a8a065bc563f4,-4113511818,B,training,Cond2,456,False,False,277,773,797
369c1a3e76aa298f75dd,-4113511814,A,training,Cond1,456,False,False,267,275,279
bbab691563db880b1976,-4113511814,B,training,Cond2,456,False,False,277,772,796
cf79490e0df97330ab40,-4113511808,A,training,Cond1,456,False,False,274,283,287
db52fd4d3e5abf26f054,-4113511808,B,training,Cond2,456,False,False,280,776,802
c9df686eb8d8acd2012e,-4113511804,B,training,Cond2,456,False,False,285,779,805
71bb64b6261727ce389a,-4113511800,B,training,Cond2,456,False,False,290,784,810
832e2588b27dc2e612fc,-4113511796,A,training,Cond1,456,False,False,269,278,282
7d57d322a34aef2fef83,-4113511796,B,training,Cond2,456,False,False,283,777,803
50aa94e96643de7fceb8,-4113511792,A,training,Cond1,456,False,False,272,281,285
04322e7ae01b4680d35d,-4113511792,B,training,Cond2,456,False,False,278,774,798
9e55e27c51b3f1468e8b,-4113511784,B,training,Cond2,456,False,False,283,777,803
7bc16dc775f95f5d944e,-4113511780,A,training,Cond1,456,False,False,264,273,277
b3721b210ceb79b9df6d,-4113511764,B,training,Cond2,456,False,False,286,780,806
0678b9ab06824fc69616,-4113511756,A,training,Cond1,456,False,False,275,284,288
26fdf7a5d5011647b6ef,-4113511756,B,training,Cond2,456,False,False,284,778,804
6420ef7bdddd242ad55b,-4113511752,A,training,Cond1,456,False,False,275,284,288
6bef49db4e5a38a0503c,-4113511752,B,training,Cond2,456,False,False,286,780,806
7920a0d1b98d1a5a5ca0,-4113511748,A,training,Cond1,456,False,False,275,284,288
5cfa9f94fcf3ede8b23c,-4113511748,B,training,Cond2,456,False,False,285,779,805
a2fab8de1d0ed8453a2e,-4111512062,A,training,Cond1,456,False,False,365,348,354
c6913b39a81fd7ac4495,-4111512058,A,training,Cond1,456,False,False,367,349,355
0143f6c3d6640aaa957b,-4111512058,B,training,Cond2,456,False,False,378,840,871
3ae3d41b2dc600ea6397,-4111512050,A,training,Cond1,456,False,False,369,350,356
b2b7fb62f8bd2bdb8af6,-4111512046,B,training,Cond2,456,False,False,387,846,878
ca22bd9c693d68fbfc84,-4111511824,A,training,Cond1,456,False,False,277,287,291
93659f4971aae77e7cd5,-4111511824,B,training,Cond2,456,False,False,287,781,807
000b67a33cdcbc155900,-4111511820,A,training,Cond1,456,False,False,275,284,288
58336438c8353884b0b8,-4111511820,B,training,Cond2,456,False,False,286,780,806
7c48a414ed1eaa23d6f0,-4111511816,A,training,Cond1,456,False,False,342,330,335
3821aac0f62bfaea784c,-4111511812,B,training,Cond2,456,False,False,349,824,855
0da647c8d6f4bd982136,-4045511868,B,training,Cond2,456,False,False,648,1008,1048
9f901e12f57b2b0c8c22,-4045511848,B,training,Cond2,456,False,False,651,1011,1052
8146113cc7cd6c341483,-4045511836,B,training,Cond2,456,False,False,646,1006,1046
2a2939c71a2c18a9260d,-4045511832,B,training,Cond2,456,False,False,651,1011,1051
21cbb1a006dc7e34f5f8,-4045511828,A,training,Cond1,456,False,False,646,536,547
706895e70a25b52a0444,-4045511824,B,training,Cond2,456,False,False,648,1008,1048
2ec6700e2224a3e08867,-4045511820,B,training,Cond2,456,False,False,643,1003,1043
26c63f3c5839c506aaf9,-4045511816,B,training,Cond2,456,False,False,646,1006,1046
05f124c55ed02953adb0,-4045511812,A,training,Cond1,456,False,False,646,536,547
68ed55601175ead8ca28,-4043511808,A,training,Cond1,456,False,False,640,532,543
253cddb18ef60ff680ab,-4043511808,B,training,Cond2,456,False,False,655,1014,1055
89829271993d2ffe71f1,-4043511796,A,training,Cond1,456,False,False,639,531,542
0503fa7532d16231373b,-4043511796,B,training,Cond2,456,False,True,651,1011,1052
374b5b24a1888b4bb2ba,-4043511570,A,training,Cond1,456,False,False,648,538,549
5da523d6eed7bd968a1b,-4041511872,A,training,Cond1,456,False,False,791,618,632
c0007d8b42cdf1c37c39,-4041511860,A,training,Cond1,456,False,False,791,618,633
5ca7ec914f5ccf7979fd,-4041511852,A,training,Cond1,456,False,False,793,619,634
c5a68946811d7daf9335,-4039511800,A,training,Cond1,456,False,False,798,623,638
8b1c29a1423d15e26b2e,-4039511788,A,training,Cond1,456,False,False,795,621,636
cc330b21069ce233a312,-4039511784,A,training,Cond1,456,False,False,798,623,638
7ce8c69a06539826cedc,-4039511784,B,training,Cond2,456,False,False,890,1156,1205
28441326f94ba0a5b14f,-4039511578,B,training,Cond2,456,False,False,953,1200,1250
23bf2526d9298b1c59e7,-4039511574,A,training,Cond1,456,False,False,798,623,638
58ffb03108305a9609fa,-4039511574,B,training,Cond2,456,False,False,892,1158,1207
babfa55828fc20dc9a60,-4039511566,A,training,Cond1,456,False,False,794,620,635
86d5fb96aabf970f84f3,-4039511558,A,training,Cond1,456,False,False,794,620,635
bb0dd7a5912b106f987f,-4039511554,A,training,Cond1,456,False,False,795,621,636
90790fce1d048e5472c9,-4039511554,B,training,Cond2,456,False,False,801,1107,1154
12b597cb0c726a3151e4,-4037511872,B,training,Cond2,456,False,False,682,1031,1072
e6814c480c262ef4b149,-4037511840,B,training,Cond2,456,False,False,697,1042,1084
12376da318fc06697eaa,-4037511836,B,training,Cond2,456,False,False,694,1039,1081
0c07aa5e9cdfb3c334b8,-4037511832,A,training,Cond1,456,False,False,676,558,569
81fe0c021f32a434b9a2,-4037511828,A,training,Cond1,456,False,False,684,562,573
7efca8681389d862ae84,-4037511816,A,training,Cond1,456,False,False,683,561,572
1a7d2cb72ceefb8f4398,-4037511812,A,training,Cond1,456,False,False,683,561,572
4837b9efea270085a8f4,-4035511792,B,training,Cond2,456,False,False,697,1042,1084
475314340343ca883cb9,-4035511780,B,training,Cond2,456,False,False,692,1038,1080
dc119c1c6de18a03a03e,-4035511598,B,training,Cond2,456,False,False,721,1056,1098
54533ac338be7d35ddf3,-4035511582,B,training,Cond2,456,False,False,717,1053,1095
9517186334baf4aa0d6f,-4035511578,B,training,Cond2,456,False,False,721,1056,1098
73c0ed135fd00f62694b,-4035511574,B,training,Cond2,456,False,False,717,1053,1095
4d1e0dd96d0ef2d87b7c,-4035511570,B,training,Cond2,456,False,False,728,1061,1105
af193fd79a005e307209,-4035511562,B,training,Cond2,456,False,False,689,1035,1077
1faeb8d5019424019d00,-4033511582,A,training,Cond1,456,False,False,711,573,584
c60664bff5cf03638a1a,-4033511570,B,training,Cond2,456,False,False,728,1061,1105
a22e27c8cc4bbc06187e,-4033511552,B,training,Cond2,456,False,False,736,1067,1112
d782c1b11aa1fd1e9bc7,-4033511548,B,training,Cond2,456,False,False,742,1069,1114
bfde7a3881670be78abe,-4033511544,B,training,Cond2,456,False,False,737,1068,1113
05a226eff6cb87a3dad6,-4033511540,B,training,Cond2,456,False,False,719,1055,1097
a4addb65a3198aeff1ac,-4033511524,A,training,Cond1,456,False,False,744,593,607
d4ed41e9d84ffaf012fb,-4027511790,A,training,Cond1,456,False,False,437,402,409
b7ab57727c4e04de1fa6,-4027511790,B,training,Cond2,456,False,False,443,881,913
cb7d70d527803bacff76,-4027511786,A,training,Cond1,456,False,False,434,399,406
599ce715621c32aa706d,-4027511786,B,training,Cond2,456,False,False,441,879,911
4cab8fdcda64caf7d2d1,-4027511782,A,training,Cond1,456,False,False,438,403,410
15fc6fd2771a83af4570,-4027511782,B,training,Cond2,456,False,False,443,881,913
b50fb135e6a483789bbe,-4027511762,A,training,Cond1,456,False,False,458,413,421
1514938f41dfe7fec825,-4027511750,B,training,Cond2,456,False,False,463,892,924
063019c2ea741f6bb697,-4027511568,A,training,Cond1,456,False,False,434,399,406
ed3de9488562bcd71b6d,-4027511568,B,training,Cond2,456,False,False,441,879,911
870c67d2afd6fb47ba00,-4027511564,A,training,Cond1,456,False,False,438,403,410
e7c4fe7f655a8be7b39e,-4027511564,B,training,Cond2,456,False,False,444,882,914
ac0381b264de3c71c4e7,-4027511560,B,training,Cond2,456,False,False,445,883,915
99694582627db5eac6f7,-4027511556,A,training,Cond1,456,False,False,466,416,424
6fa26aeab9cc01ae07df,-4025511554,A,training,Cond1,456,False,False,454,409,416
a31689b13316de1a985b,-4025511552,B,training,Cond2,456,False,False,464,893,925
dc334101fcbf3d2d1b5a,-4025511548,A,training,Cond1,456,False,False,456,411,419
9e679115c465cbbb98f9,-4025511536,B,training,Cond2,456,False,False,464,893,925
761cad9cb82bfb552973,-4025511496,A,training,Cond1,456,False,False,472,421,429
1087736cea46dd4723d7,-4023511802,A,training,Cond1,456,False,False,508,442,451
54b1114fef6f8f6697ef,-4023511802,B,training,Cond2,456,False,False,519,922,954
f28190f965130285e5fc,-4023511798,A,training,Cond1,456,False,False,473,422,430
b4d279d0a302676bfbdc,-4023511798,B,training,Cond2,456,False,False,479,901,933
096ecd48968b85e4dc53,-4023511794,A,training,Cond1,456,False,False,510,444,453
3b3f3f05e2ae3ab6a08f,-4023511746,A,training,Cond1,456,False,False,474,423,431
8da0440b12cf38c26e8e,-4023511746,B,training,Cond2,456,False,False,480,902,934
ecd33beacec4f14b5aae,-4023511604,B,training,Cond2,456,False,False,479,901,933
e933735624380a9213c7,-4023511592,A,training,Cond1,456,False,False,474,423,431
7dfdfeb7f36e1e44e92b,-4023511592,B,training,Cond2,456,False,False,480,902,934
ad8fd931ae392d099a62,-4021511614,B,training,Cond2,456,False,False,522,925,957
f19f88377bd0d8b884e1,-4021511602,A,training,Cond1,456,False,False,516,448,458
e9e1d21267a96c705e79,-4021511544,B,training,Cond2,456,False,False,543,941,976
0e9036b3ff0c9055aa30,-4021511536,B,training,Cond2,456,False,True,528,930,963
bd7ff0affdbf0b2b120c,-4021511500,B,training,Cond2,456,False,False,525,927,959
88d21a3ba36bc8b4514f,-4021511496,B,training,Cond2,456,False,False,527,929,962
5882794b7178766bee0a,-4019511806,A,training,Cond1,456,False,False,530,455,465
97f9c228599e29ab12d8,-4019511794,A,training,Cond1,456,False,False,529,452,462
3225fbe683f80629efd5,-4019511774,A,training,Cond1,456,False,False,536,463,473
9d612778fac72ebccef2,-4019511774,B,training,Cond2,456,False,False,545,942,977
a7847fa3bbe78a841929,-4019511770,A,training,Cond1,456,False,False,530,455,465
07f829e49f3308e6a223,-4019511766,B,training,Cond2,456,False,False,539,936,970
6ea75e8be0c5e05fade9,-4019511758,B,training,Cond2,456,False,False,539,935,969
014746cf9bda1cedc2ba,-4019511616,B,training,Cond2,456,False,False,545,942,977
3cb9401b01865f958ecf,-4017511586,B,training,Cond2,456,False,False,536,932,965
bcfaabd8932f6a41a5d1,-4017511504,A,training,Cond1,456,False,False,530,455,465
0044f341f2ed7a7e2879,-4017511492,B,training,Cond2,456,False,False,536,932,965
124dc5cc0f23e1f19fb7,-3784722864,A,training,Cond1,456,False,False,388,367,374
c92be69667b985bd01a3,-3784722786,A,training,Cond1,456,False,False,437,401,408
ec9f5dc21a7414613994,-3784722774,A,training,Cond1,456,False,False,403,377,384
c03189170f34e5b9f9fe,-3784722774,B,training,Cond2,456,False,False,417,864,896
3bc0793f806ef1d1a2ba,-3784722770,A,training,Cond1,456,False,False,405,379,386
e131cc41ea8524d1629f,-3784722766,A,training,Cond1,456,False,False,401,375,382
eddaa4877bce3c885aaf,-3784722762,A,training,Cond1,456,False,False,405,379,386
57171f7dd4f88ce8040e,-3784722754,B,training,Cond2,456,False,False,390,849,881
e0f86edd1308ffb68e05,-3780722750,B,training,Cond2,456,False,False,955,1201,1251
e81b53ce8f9871fa6fee,-3780722726,B,training,Cond2,456,False,False,955,1201,1251
41f9196246973f9d4299,-3780722722,B,training,Cond2,456,False,True,962,1208,1258
5acf79ea39c99dfce54b,-3780722694,A,training,Cond1,456,False,False,987,748,769
62e38bba327a1002cd87,-3287299576,B,training,Cond2,456,False,False,625,992,1032
bcc7abe9fff3d5a894bb,-2701400552,B,training,Cond2,456,False,False,411,858,890
042ee4d01f5cb8a343df,-2701400532,A,training,Cond1,456,False,False,328,325,330
33884e368b875d80a794,-2699400364,A,training,Cond1,456,False,False,405,379,386
3c583539dd8cf89e7ad1,-2699400364,B,training,Cond2,456,False,False,413,860,892
6f63a985cbc0816bda9b,-2699400356,B,training,Cond2,456,False,False,429,871,903
0cc7df66f21a215c275f,-2697400536,B,training,Cond2,456,False,False,265,764,786
157cfe1a8fbfae31fc89,-2697400532,B,training,Cond2,456,False,False,271,769,793
9dfe5d75505663eef90a,-2579249818,B,training,Cond2,456,False,False,347,823,854
a3a20e4e223549957616,-2579249814,A,training,Cond1,456,False,False,332,328,333
8ce4020f4a25c84df3f0,-2579249810,A,training,Cond1,456,False,False,342,330,335
bc5d24f5f8e462645a33,-2579249784,A,training,Cond1,456,False,False,342,330,335
5c871ee84ce9e11a614a,-2579249780,B,training,Cond2,456,False,False,345,822,853
8a7324bf3433c863fa32,-2569250042,B,training,Cond2,456,False,False,768,1087,1133
8d0f0bb85b35026cf2ba,-2569250038,A,training,Cond1,456,False,False,759,601,615
c587585e8be44e59b889,-2569250030,A,training,Cond1,456,False,False,759,601,615
d9095efa1c23a6db0020,-2569250026,B,training,Cond2,456,False,True,764,1083,1128
28ae9cb23f6947abc886,-2569250022,B,training,Cond2,456,False,False,766,1085,1130
76a84111773e6ae8a19a,-2569250018,B,training,Cond2,456,False,False,766,1085,1130
eb2a20bc9753cf4dc868,-2569249820,A,training,Cond1,456,False,False,766,606,620
40e0ccfcfe2797c0ed6c,-2569249804,B,training,Cond2,456,False,False,766,1085,1130
d51d18f65021ac8ddfcc,-2569249800,A,training,Cond1,456,False,False,758,600,614
8d7a8913b04ebbfa3dfa,-2567249850,B,training,Cond2,456,False,False,716,1052,1094
41e97eb8601e080f5b62,-2567249846,B,training,Cond2,456,False,False,727,1060,1103
a3323871584eff7a0c4b,-2567249826,B,training,Cond2,456,False,False,727,1060,1102
eb1f457ee6ac6a7ee0a6,-2567249792,A,training,Cond1,456,False,False,764,605,619
5e1b34f088ee4b88c2ad,-2567249792,B,training,Cond2,456,False,False,777,1091,1138
add06e60e9601d62efc7,-2567249788,A,training,Cond1,456,False,False,764,605,619
235f388d72bc73da3341,-2567249788,B,training,Cond2,456,False,False,776,1090,1137
17dd86ebb31c1048986c,-2567249764,A,training,Cond1,456,False,False,758,600,614
44e2cd3277e195e96424,-2567249764,B,training,Cond2,456,False,False,766,1085,1130
cb4effffcf59da0509d3,-2567249760,B,training,Cond2,456,False,False,727,1060,1102
5b11336807af53fc300f,-2567249756,A,training,Cond1,456,False,False,711,572,583
7e5c1456ff5eab8655cd,-2567249752,A,training,Cond1,456,False,False,714,576,587
96b07a1935b0c2ab28f0,-2567249752,B,training,Cond2,456,False,False,718,1054,1096
c59f452bc87c634cb699,-2567249744,A,training,Cond1,456,False,False,758,600,614
ffd0f81d1449f3f54c1a,-2567249744,B,training,Cond2,456,False,False,766,1085,1130
fe05353d1263d641eab3,-2567249740,B,training,Cond2,456,False,False,763,1082,1127
8176c599c196cb23b492,-2567249732,B,training,Cond2,456,False,False,718,1054,1096
fdb9bbcb9220e0152d86,-2565250046,B,training,Cond2,456,False,False,426,869,901
a396474fb12cae977057,-2565250042,B,training,Cond2,456,False,False,440,878,910
14657625535d82293292,-2565250002,B,training,Cond2,456,False,False,428,870,902
56285e30920f24603915,-2565249998,A,training,Cond1,456,False,False,416,388,395
798c7cc0f3df94def977,-2565249994,B,training,Cond2,456,False,False,439,877,909
d3b0a2984f919f4c59e6,-2565249990,A,training,Cond1,456,False,False,424,394,401
e297a27bcb40bc7e4c87,-2565249986,B,training,Cond2,456,False,False,440,878,910
38b729843aea92d1e2b8,-2151929736,B,training,Cond2,456,False,False,526,928,960
2eee6d51dbb85b31d854,-2151929732,B,training,Cond2,456,False,False,526,928,960
8419262d6f316adffce3,-2149929672,A,training,Cond1,456,False,False,509,443,452
81c93a9e934cd5dede62,-2149929534,A,training,Cond1,456,False,False,512,445,455
8e52c26bcfb416bff2f8,-2149929514,B,training,Cond2,456,False,False,551,948,984
896cab0a053befe11756,-2143929768,A,training,Cond1,456,False,False,466,416,424
d94a9017ec585d437b83,-2143929764,B,training,Cond2,456,False,False,467,894,926
f0ba5479ba8e150b6d61,-2143929760,A,training,Cond1,456,False,False,455,410,418
9f66967954d52c032568,-2143929740,A,training,Cond1,456,False,False,455,410,418
cbd9eb83a1f1f04c7b54,-2143929718,A,training,Cond1,456,False,False,454,409,416
2cb7373298abc6fa4dc6,-2143929718,B,training,Cond2,456,False,False,461,890,922
5c7820a1da4114ca2a31,-2143929710,A,training,Cond1,456,False,False,455,410,417
331d90f1bd532665407b,-2141929716,B,training,Cond2,456,False,False,452,886,918
e2b85fd872c749e2d1b1,-2141929700,A,training,Cond1,456,False,False,436,400,407
22f89a616e569223c39e,-2141929522,B,training,Cond2,456,False,False,459,888,920
8e1c8666b8dc9343c74a,-2141929518,A,training,Cond1,456,False,False,455,410,417
40f5fef1e9b0f15ddc3a,-2141929514,A,training,Cond1,456,False,False,454,409,416
222edc660ee4209ca385,-2141929510,B,training,Cond2,456,False,False,459,888,920
e35b3bcc1ef4a46ec1af,-2141929506,A,training,Cond1,456,False,False,454,409,416
1f1f3a09923d7461c537,-2141929486,A,training,Cond1,456,False,False,447,406,413
47f73e25687f8af5d8c3,-2139929788,A,training,Cond1,456,False,False,504,440,449
ee52b9f73bf8b1a4e615,-2139929772,A,training,Cond1,456,False,False,503,439,448
