paper,paper_feature_id,implementation_column,definition
P2,35,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_mean
P2,36,p2_primary_USAGE_OF_BACKING_FILM_std,p2_primary_USAGE_OF_BACKING_FILM_std
P2,37,p2_primary_USAGE_OF_DRESSER_std,p2_primary_USAGE_OF_DRESSER_std
P2,38,p2_primary_USAGE_OF_POLISHING_TABLE_std,p2_primary_USAGE_OF_POLISHING_TABLE_std
P2,39,p2_primary_USAGE_OF_DRESSER_TABLE_std,p2_primary_USAGE_OF_DRESSER_TABLE_std
P2,40,p2_primary_USAGE_OF_MEMBRANE_std,p2_primary_USAGE_OF_MEMBRANE_std
P2,41,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std,p2_primary_USAGE_OF_PRESSURIZED_SHEET_std
P2,42,p2_secondary_USAGE_OF_BACKING_FILM_std,p2_secondary_USAGE_OF_BACKING_FILM_std
P2,43,p2_secondary_USAGE_OF_DRESSER_std,p2_secondary_USAGE_OF_DRESSER_std
P2,44,p2_secondary_USAGE_OF_POLISHING_TABLE_std,p2_secondary_USAGE_OF_POLISHING_TABLE_std
P2,45,p2_secondary_USAGE_OF_DRESSER_TABLE_std,p2_secondary_USAGE_OF_DRESSER_TABLE_std
P2,46,p2_secondary_USAGE_OF_MEMBRANE_std,p2_secondary_USAGE_OF_MEMBRANE_std
P2,47,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_std
P2,48,p2_primary_USAGE_OF_BACKING_FILM_decreasing,p2_primary_USAGE_OF_BACKING_FILM_decreasing
P2,49,p2_primary_USAGE_OF_DRESSER_decreasing,p2_primary_USAGE_OF_DRESSER_decreasing
P2,50,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing,p2_primary_USAGE_OF_POLISHING_TABLE_decreasing
P2,51,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing,p2_primary_USAGE_OF_DRESSER_TABLE_decreasing
P2,52,p2_primary_USAGE_OF_MEMBRANE_decreasing,p2_primary_USAGE_OF_MEMBRANE_decreasing
P2,53,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing,p2_primary_USAGE_OF_PRESSURIZED_SHEET_decreasing
P2,54,p2_secondary_USAGE_OF_BACKING_FILM_decreasing,p2_secondary_USAGE_OF_BACKING_FILM_decreasing
P2,55,p2_secondary_USAGE_OF_DRESSER_decreasing,p2_secondary_USAGE_OF_DRESSER_decreasing
P2,56,p2_secondary_USAGE_OF_POLISHING_TABLE_decreasing,p2_secondary_USAGE_OF_POLISHING_TABLE_decreasing
P2,57,p2_secondary_USAGE_OF_DRESSER_TABLE_decreasing,p2_secondary_USAGE_OF_DRESSER_TABLE_decreasing
P2,58,p2_secondary_USAGE_OF_MEMBRANE_decreasing,p2_secondary_USAGE_OF_MEMBRANE_decreasing
P2,59,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing,p2_secondary_USAGE_OF_PRESSURIZED_SHEET_decreasing
P2,60,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_mean
P2,61,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_mean
P2,62,p2_primary_CENTER_AIR_BAG_PRESSURE_mean,p2_primary_CENTER_AIR_BAG_PRESSURE_mean
P2,63,p2_primary_RETAINER_RING_PRESSURE_mean,p2_primary_RETAINER_RING_PRESSURE_mean
P2,64,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean,p2_primary_RIPPLE_AIR_BAG_PRESSURE_mean
P2,65,p2_primary_EDGE_AIR_BAG_PRESSURE_mean,p2_primary_EDGE_AIR_BAG_PRESSURE_mean
P2,66,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_mean
P2,67,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_mean
P2,68,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean,p2_secondary_CENTER_AIR_BAG_PRESSURE_mean
P2,69,p2_secondary_RETAINER_RING_PRESSURE_mean,p2_secondary_RETAINER_RING_PRESSURE_mean
P2,70,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_mean
P2,71,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean,p2_secondary_EDGE_AIR_BAG_PRESSURE_mean
P2,72,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_std
P2,73,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_std
P2,74,p2_primary_CENTER_AIR_BAG_PRESSURE_std,p2_primary_CENTER_AIR_BAG_PRESSURE_std
P2,75,p2_primary_RETAINER_RING_PRESSURE_std,p2_primary_RETAINER_RING_PRESSURE_std
P2,76,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std,p2_primary_RIPPLE_AIR_BAG_PRESSURE_std
P2,77,p2_primary_EDGE_AIR_BAG_PRESSURE_std,p2_primary_EDGE_AIR_BAG_PRESSURE_std
P2,78,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_std
P2,79,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_std
P2,80,p2_secondary_CENTER_AIR_BAG_PRESSURE_std,p2_secondary_CENTER_AIR_BAG_PRESSURE_std
P2,81,p2_secondary_RETAINER_RING_PRESSURE_std,p2_secondary_RETAINER_RING_PRESSURE_std
P2,82,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_std
P2,83,p2_secondary_EDGE_AIR_BAG_PRESSURE_std,p2_secondary_EDGE_AIR_BAG_PRESSURE_std
P2,84,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc,p2_primary_PRESSURIZED_CHAMBER_PRESSURE_auc
P2,85,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,p2_primary_MAIN_OUTER_AIR_BAG_PRESSURE_auc
P2,86,p2_primary_CENTER_AIR_BAG_PRESSURE_auc,p2_primary_CENTER_AIR_BAG_PRESSURE_auc
P2,87,p2_primary_RETAINER_RING_PRESSURE_auc,p2_primary_RETAINER_RING_PRESSURE_auc
P2,88,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc,p2_primary_RIPPLE_AIR_BAG_PRESSURE_auc
P2,89,p2_primary_EDGE_AIR_BAG_PRESSURE_auc,p2_primary_EDGE_AIR_BAG_PRESSURE_auc
P2,90,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc,p2_secondary_PRESSURIZED_CHAMBER_PRESSURE_auc
P2,91,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc,p2_secondary_MAIN_OUTER_AIR_BAG_PRESSURE_auc
P2,92,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc,p2_secondary_CENTER_AIR_BAG_PRESSURE_auc
P2,93,p2_secondary_RETAINER_RING_PRESSURE_auc,p2_secondary_RETAINER_RING_PRESSURE_auc
P2,94,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc,p2_secondary_RIPPLE_AIR_BAG_PRESSURE_auc
P2,95,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc,p2_secondary_EDGE_AIR_BAG_PRESSURE_auc
P2,96,p2_primary_SLURRY_FLOW_LINE_A_mean,p2_primary_SLURRY_FLOW_LINE_A_mean
P2,97,p2_primary_SLURRY_FLOW_LINE_B_mean,p2_primary_SLURRY_FLOW_LINE_B_mean
P2,98,p2_primary_SLURRY_FLOW_LINE_C_mean,p2_primary_SLURRY_FLOW_LINE_C_mean
P2,99,p2_primary_DRESSING_WATER_STATUS_mean,p2_primary_DRESSING_WATER_STATUS_mean
P2,100,p2_secondary_SLURRY_FLOW_LINE_A_mean,p2_secondary_SLURRY_FLOW_LINE_A_mean
P2,101,p2_secondary_SLURRY_FLOW_LINE_B_mean,p2_secondary_SLURRY_FLOW_LINE_B_mean
P2,102,p2_secondary_SLURRY_FLOW_LINE_C_mean,p2_secondary_SLURRY_FLOW_LINE_C_mean
P2,103,p2_secondary_DRESSING_WATER_STATUS_mean,p2_secondary_DRESSING_WATER_STATUS_mean
P2,104,p2_primary_SLURRY_FLOW_LINE_A_std,p2_primary_SLURRY_FLOW_LINE_A_std
P2,105,p2_primary_SLURRY_FLOW_LINE_B_std,p2_primary_SLURRY_FLOW_LINE_B_std
P2,106,p2_primary_SLURRY_FLOW_LINE_C_std,p2_primary_SLURRY_FLOW_LINE_C_std
P2,107,p2_primary_DRESSING_WATER_STATUS_std,p2_primary_DRESSING_WATER_STATUS_std
P2,108,p2_secondary_SLURRY_FLOW_LINE_A_std,p2_secondary_SLURRY_FLOW_LINE_A_std
P2,109,p2_secondary_SLURRY_FLOW_LINE_B_std,p2_secondary_SLURRY_FLOW_LINE_B_std
P2,110,p2_secondary_SLURRY_FLOW_LINE_C_std,p2_secondary_SLURRY_FLOW_LINE_C_std
P2,111,p2_secondary_DRESSING_WATER_STATUS_std,p2_secondary_DRESSING_WATER_STATUS_std
P2,112,p2_primary_SLURRY_FLOW_LINE_A_auc,p2_primary_SLURRY_FLOW_LINE_A_auc
P2,113,p2_primary_SLURRY_FLOW_LINE_B_auc,p2_primary_SLURRY_FLOW_LINE_B_auc
P2,114,p2_primary_SLURRY_FLOW_LINE_C_auc,p2_primary_SLURRY_FLOW_LINE_C_auc
P2,115,p2_primary_DRESSING_WATER_STATUS_auc,p2_primary_DRESSING_WATER_STATUS_auc
P2,116,p2_secondary_SLURRY_FLOW_LINE_A_auc,p2_secondary_SLURRY_FLOW_LINE_A_auc
P2,117,p2_secondary_SLURRY_FLOW_LINE_B_auc,p2_secondary_SLURRY_FLOW_LINE_B_auc
P2,118,p2_secondary_SLURRY_FLOW_LINE_C_auc,p2_secondary_SLURRY_FLOW_LINE_C_auc
P2,119,p2_secondary_DRESSING_WATER_STATUS_auc,p2_secondary_DRESSING_WATER_STATUS_auc
P2,120,p2_primary_WAFER_ROTATION_mean,p2_primary_WAFER_ROTATION_mean
P2,121,p2_primary_STAGE_ROTATION_mean,p2_primary_STAGE_ROTATION_mean
P2,122,p2_primary_HEAD_ROTATION_mean,p2_primary_HEAD_ROTATION_mean
P2,123,p2_secondary_WAFER_ROTATION_mean,p2_secondary_WAFER_ROTATION_mean
P2,124,p2_secondary_STAGE_ROTATION_mean,p2_secondary_STAGE_ROTATION_mean
P2,125,p2_secondary_HEAD_ROTATION_mean,p2_secondary_HEAD_ROTATION_mean
P3,TableIII_456_1,p3_wafer,p3_wafer
P3,TableIII_456_2,p3_stage,p3_stage
P3,TableIII_456_3,p3_dresser,p3_dresser
P3,TableIII_456_4,p3_dresser_table,p3_dresser_table
P3,TableIII_456_5,p3_table,p3_table
P3,TableIII_456_6,p3_membrane,p3_membrane
P3,TableIII_456_7,p3_duration,p3_duration
P3,TableIII_456_8,p3_pressure_integral,p3_pressure_integral
P3,TableIII_456_9,p3_first,p3_first
P3,TableIII_456_10,p3_start,p3_start
P3,TableIII_456_11,p3_cpp,p3_cpp
P3,TableIII_123_1,p3_wafer,p3_wafer
P3,TableIII_123_2,p3_dresser,p3_dresser
P3,TableIII_123_3,p3_dresser_table,p3_dresser_table
P3,TableIII_123_4,p3_table,p3_table
P3,TableIII_123_5,p3_membrane,p3_membrane
P3,TableIII_123_6,p3_cpp,p3_cpp
