v4_model,paper,paper_benchmark,metric,paper_value,v4_value,numerical_change_pct,interpretation
primary73_bag,P1,RF Stage B,B_rmse,4.598,3.074524756454601,-33.13343287397562,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P1,ELM Stage A,A_rmse,4.795,2.9955341498388353,-37.52796350701073,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P1,ELM Stage B,B_rmse,4.485,3.074524756454601,-31.44872337893867,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P2,Bagging,all_mse,7.22,9.183561729990975,27.19614584475036,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P2,Integrated,all_mse,7.07,9.183561729990975,29.894791088981254,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P3,RF,all_mse,7.6,9.183561729990975,20.836338552512835,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
primary73_bag,P3,RF+CPP,all_mse,7.4,9.183561729990975,24.102185540418585,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P1,RF Stage A,A_rmse,5.395,3.651914568622845,-32.30927583646256,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P1,RF Stage B,B_rmse,4.598,4.0298371736259995,-12.35673828564594,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P1,ELM Stage A,A_rmse,4.795,3.651914568622845,-23.839112228929192,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P1,ELM Stage B,B_rmse,4.485,4.0298371736259995,-10.148558001649965,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P2,Bagging,all_mse,7.22,14.61001308036833,102.35475180565552,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P2,Integrated,all_mse,7.07,14.61001308036833,106.64799265018851,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P3,RF,all_mse,7.6,14.61001308036833,92.23701421537275,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_rf,P3,RF+CPP,all_mse,7.4,14.61001308036833,97.4326091941666,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P1,RF Stage A,A_rmse,5.395,3.6691638487210625,-31.989548679869085,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P1,RF Stage B,B_rmse,4.598,4.081146224609764,-11.240838960205213,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P1,ELM Stage A,A_rmse,4.795,3.6691638487210625,-23.479377503210376,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P1,ELM Stage B,B_rmse,4.485,4.081146224609764,-9.004543486961792,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P2,Bagging,all_mse,7.22,14.863462300097893,105.86512881022014,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P2,Integrated,all_mse,7.07,14.863462300097893,110.23284724325167,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P3,RF,all_mse,7.6,14.863462300097893,95.57187236970914,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact12_bag,P3,RF+CPP,all_mse,7.4,14.863462300097893,100.85759864997152,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P1,RF Stage A,A_rmse,5.395,3.018864843439187,-44.04328371753128,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P1,RF Stage B,B_rmse,4.598,3.2183664859551744,-30.00507860036593,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P1,ELM Stage A,A_rmse,4.795,3.018864843439187,-37.041400553927275,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P1,ELM Stage B,B_rmse,4.485,3.2183664859551744,-28.24154992296156,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P2,Bagging,all_mse,7.22,9.659410151594006,33.78684420490315,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P2,Integrated,all_mse,7.07,9.659410151594006,36.62532039029711,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P3,RF,all_mse,7.6,9.659410151594006,27.09750199465799,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_rf,P3,RF+CPP,all_mse,7.4,9.659410151594006,30.53256961613522,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P1,RF Stage A,A_rmse,5.395,3.0284592960439647,-43.86544400289222,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P1,RF Stage B,B_rmse,4.598,3.236454202381984,-29.61169633792988,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P1,ELM Stage A,A_rmse,4.795,3.0284592960439647,-36.84130769459928,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P1,ELM Stage B,B_rmse,4.485,3.236454202381984,-27.838256357146406,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P2,Bagging,all_mse,7.22,9.743195514200025,34.94730629085907,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P2,Integrated,all_mse,7.07,9.743195514200025,37.81040331258876,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P3,RF,all_mse,7.6,9.743195514200025,28.199940976316128,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
compact33_bag,P3,RF+CPP,all_mse,7.4,9.743195514200025,31.664804245946264,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P1,RF Stage A,A_rmse,5.395,3.6104386952697634,-33.07805940185795,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P1,RF Stage B,B_rmse,4.598,3.374194512315569,-26.61603931458092,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P1,ELM Stage A,A_rmse,4.795,3.6104386952697634,-24.704093946407436,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P1,ELM Stage B,B_rmse,4.485,3.374194512315569,-24.76712347122477,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P2,Bagging,all_mse,7.22,12.3114121771194,70.51817419832966,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P2,Integrated,all_mse,7.07,12.3114121771194,74.13595724355588,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P3,RF,all_mse,7.6,12.3114121771194,61.99226548841317,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
S4_final,P3,RF+CPP,all_mse,7.4,12.3114121771194,66.37043482593783,"descriptive only; different inputs, training cohort, history policy, algorithms and seed aggregation"
